C.D.S.  -  SIMBAD4 rel 1.5.11  -  2017.04.14CEST16:44:09

sptype >= 'L0' & sptype <= 'Y9'
-------------------------------

Number of objects : 1946

 #  |           identifier           |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|--------------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
136 |2MASS J12542000+0009132         |BD*|12 54 20.002 +00 09 13.24  |     ~|     ~|     ~|     ~|     ~|L2.5           |   1|   0
137 |CFBDS J095914+023655            |BD*|09 59 14.80 +02 36 55.2    |     ~|     ~|     ~|     ~|     ~|T3             |   2|   0
138 |2MASS J10412190+2442287         |BD*|10 41 21.907 +24 42 28.76  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
139 |ULAS J144555.24+125735.1        |*  |14 45 55.24 +12 57 35.1    |     ~|     ~|     ~|     ~|     ~|T6.5           |   3|   0
140 |[PSZ2003] J034407.3+321433      |*  |03 44 07.3 +32 14 33       |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
141 |ULAS J104355.37+104803.4        |Ro*|10 43 55.37 +10 48 03.4    |     ~|     ~|     ~|     ~|     ~|T8             |   2|   0
142 |2MASS J13240776+1906271         |BD*|13 24 07.762 +19 06 27.20  |     ~|     ~|     ~|     ~|     ~|T3.5           |   3|   0
143 |2MASS J09470674+1123441         |BD*|09 47 06.746 +11 23 44.16  |     ~|     ~|     ~|     ~|     ~|L1.5           |   1|   0
144 |2MASS J00324308-2237272         |BD*|00 32 43.08 -22 37 27.2    |     ~|     ~|     ~|     ~|     ~|L1             |   4|   2
145 |2MASS J23594034-7335055         |BD*|23 59 40.349 -73 35 05.50  |     ~|     ~|     ~|     ~|     ~|T5.5           |   5|   0
146 |SCR J1845-6357B                 |BD*|18 45 05.47 -63 57 46.3    |     ~|     ~|     ~|     ~|     ~|T6             |  29|   1
147 |2MASS J13422494+6037314         |BD*|13 42 24.942 +60 37 31.48  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
148 |2MASS J14361560+1108180         |BD*|14 36 15.609 +11 08 18.08  |     ~|     ~|     ~|     ~|     ~|L2             |   1|   0
149 |2MASSI J0342162-681732          |BD*|03 42 16.212 -68 17 32.11  |     ~|     ~|     ~|     ~|     ~|L4             |   7|   0
150 |EQ J1122+2550                   |BD*|11 22 54.73 +25 50 21.5    |     ~|     ~|     ~|     ~|     ~|T6             |   7|   0
151 |[PT2013] 2                      |BD?|08 41 17.0 +63 00 00       |     ~|     ~|     ~|     ~|     ~|T5             |   1|   0
152 |2MASS J08403612+1434247         |QSO|08 40 36.130 +14 34 24.78  |     ~|24.36 |23.56 |     ~|     ~|L1             |   3|   0
153 |LP 261-75 B                     |BD*|09 51 05.49 +35 58 02.1    |     ~|     ~|     ~|     ~|     ~|L6V            |  28|   0
154 |ULAS J033350.84+001406.1        |BD*|03 33 50.845 +00 14 06.11  |     ~|     ~|     ~|     ~|     ~|sdL0.0         |   2|   0
155 |WISE J173623.03+605920.2        |BD*|17 36 23.03 +60 59 20.2    |     ~|     ~|     ~|     ~|     ~|T8             |   2|   0
156 |WISE J092906.77+040957.9        |Ro*|09 29 06.77 +04 09 57.9    |     ~|     ~|     ~|     ~|     ~|T5.5           |   9|   0
157 |SSSPM J2310-1759                |BD*|23 10 18.464 -17 59 09.10  |     ~|     ~|     ~|19.369|17.474|L1             |   9|   0
158 |2MASS J19064801+4011089         |*  |19 06 48.018 +40 11 08.94  |     ~|     ~|     ~|     ~|     ~|L1             |   9|   0
159 |BRLT 117                        |BD*|09 56 06.727 +08 21 15.76  |     ~|     ~|     ~|     ~|     ~|L5.0           |   1|   0
160 |2MASS J08175749+1824048         |BD*|08 17 57.492 +18 24 04.84  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
161 |2MASS J23512200+3010540         |BD*|23 51 22.005 +30 10 54.00  |     ~|     ~|     ~|     ~|     ~|L6.5           |   9|   0
162 |2MASS J14324216+3451429         |BD*|14 32 42.168 +34 51 42.97  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
163 |BRLT 144                        |BD*|11 41 05.180 +09 16 47.11  |     ~|     ~|     ~|     ~|     ~|L5.0           |   1|   0
164 |2MASS J16135698+4019158         |BD*|16 13 56.987 +40 19 15.86  |     ~|     ~|     ~|     ~|     ~|L5red          |   1|   0
165 |2MASS J12504467+0417581         |BD*|12 50 44.679 +04 17 58.18  |     ~|     ~|     ~|     ~|     ~|L0             |   3|   0
166 |BRLT 305                        |BD*|21 57 00.472 +00 56 14.55  |     ~|     ~|     ~|     ~|     ~|L5.5           |   2|   0
167 |2MASSW J0944027+313132          |BD*|09 44 02.793 +31 31 32.82  |     ~|     ~|     ~|     ~|     ~|L2V            |   9|   0
168 |BRLT 162                        |BD*|12 12 38.724 +00 07 21.92  |     ~|     ~|     ~|     ~|     ~|L0.5           |   1|   0
169 |2MASS J14540797-6604476         |BD*|14 54 07.98 -66 04 47.7    |     ~|     ~|     ~|     ~|16.90 |L3.5           |   8|   0
170 |NAME WISE J1217+1626            |BD*|12 17 56.91 +16 26 40.2    |     ~|     ~|     ~|     ~|     ~|T9+Y0          |  16|   0
171 |2MASS J08125319+3721048         |BD*|08 12 53.196 +37 21 04.83  |     ~|     ~|     ~|     ~|     ~|L3             |   1|   0
172 |NAME CFBDSIR J214947.2-040308.9 |BD*|21 49 47.20 -04 03 08.9    |     ~|     ~|     ~|     ~|     ~|T7             |  18|   0
173 |BRLT 202                        |BD*|13 13 07.477 +12 35 40.73  |     ~|     ~|     ~|     ~|     ~|T2.5           |   1|   0
174 |UDXS J221903.10+002418.2        |BD*|22 19 03.10 +00 24 18.2    |     ~|     ~|     ~|     ~|     ~|T6             |   4|   0
175 |EQ J0539-1034                   |BD*|05 39 57.02 -10 34 36.5    |     ~|     ~|     ~|     ~|     ~|T5.5           |   2|   0
176 |2MASS J11264705+5816325         |BD*|11 26 47.050 +58 16 32.57  |     ~|     ~|     ~|     ~|     ~|L3             |   1|   0
177 |WISE J192841.35+235604.9        |BD*|19 28 41.35 +23 56 04.9    |     ~|     ~|     ~|     ~|     ~|T6             |   5|   0
178 |BRLT 32                         |BD*|01 38 07.652 -01 04 17.15  |     ~|     ~|     ~|     ~|     ~|L1.5           |   2|   0
179 |2MASS J17561080+2815238         |BD*|17 56 10.807 +28 15 23.81  |     ~|     ~|     ~|     ~|     ~|sdL1           |   6|   0
180 |2MASS J19511353-3311126         |BD*|19 51 13.530 -33 11 12.65  |     ~|     ~|     ~|     ~|     ~|L1pec?         |   1|   0
181 |2MASS J08422090+0935107         |BD*|08 42 20.904 +09 35 10.76  |     ~|     ~|     ~|     ~|     ~|L1.5           |   1|   0
182 |BRLT 31                         |BD*|01 36 19.790 +07 17 37.99  |     ~|     ~|     ~|     ~|     ~|L4.0           |   2|   0
183 |2MASS J02060880+2235593         |BD*|02 06 08.800 +22 35 59.33  |     ~|     ~|     ~|     ~|     ~|L4.5           |   8|   0
184 |TWA 27B                         |BD*|12 07 33.50 -39 32 54.4    |     ~|     ~|     ~|     ~|     ~|L5             | 178|   1
185 |NAME HN Peg B                   |BD*|21 44 28.47 +14 46 07.8    |     ~|     ~|     ~|     ~|     ~|T2.5           |  51|   0
186 |WISE J144806.48-253420.3        |BD*|14 48 06.49 -25 34 20.4    |     ~|     ~|     ~|     ~|     ~|T8             |   2|   0
187 |USNO-B1.0 1402-00308413         |BD*|18 07 15.936 +50 15 31.68  |     ~|     ~|     ~|     ~|     ~|L1             |  28|   0
